cue_en,target_en,Issue,condition,route_cue_zh,route_target_zh,cue_duplicated,target_duplicated,has_duplicate,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",cnt_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason
prick,needle,,M+E+,刺痛,针,False,False,False,0.11458332836628,0.0353641323745251,0.115384615957737,0.383316427469254,0.160048633813858,22.0,3.67787003517151,12.0,0.38950902223587,0.526354730129242,0.701804876327515,0.436715632677078,"[{'zh': '戳', 'rcs': 0.2868856191635132, 'w': 0.15544444387061235}, {'zh': '刺', 'rcs': 0.2932660281658172, 'w': 0.14275065848627358}]","[{'zh': '针头', 'rcs': 0.5342175364494324, 'w': 0.43671563189910584}, {'zh': '指针', 'rcs': 0.2426190823316574, 'w': 0.1265687362017882}]",1.0748516502502,5,6,刺痛,针,0.6934977,0.7083572,0.7009275,0.314972,0.23918825,0.27708012,,
prick,skin,No replacement,M+E-,刺痛,皮肤,False,True,True,0.0,0.0096955625340342,0.0288461539894342,0.0553560964763165,0.0604667067527771,0.0,1.00833857059479,3.0,0.38950902223587,0.56460452079773,0.701804876327515,0.478926360607147,"[{'zh': '戳', 'rcs': 0.2868856191635132, 'w': 0.15544444387061235}, {'zh': '刺', 'rcs': 0.2932660281658172, 'w': 0.14275065848627358}]","[{'zh': '壳', 'rcs': 0.3820466101169586, 'w': 0.1817293657600022}, {'zh': '剥皮', 'rcs': 0.3006784617900848, 'w': 0.17885542186769768}, {'zh': '毛皮', 'rcs': 0.363589197397232, 'w': 0.16048884487323642}]",1.13661501714652,5,4,刺痛,皮肤,0.6934977,0.7957984,0.7446481,0.314972,0.27219588,0.29358393,,
prick,pin,,M-E+,,,False,False,False,0.0885416716337204,0.0,,0.237132057547569,0.0108097111806273,17.0,0.0,,,,,,,,1.35712749587405,5,3,刺痛,旗杆,0.6934977,0.6037958,0.6486468,0.314972,0.0131251495,0.16404858,,
prince,queen,,M+E+,国王,王后,False,False,False,0.0536585412919521,0.0132452957332134,0.133333340287209,0.509624361991882,0.123565874993801,11.0,1.58943545818329,16.0,0.475086122751236,0.374015063047409,0.298019140958786,0.333333343267441,"[{'zh': '王子', 'rcs': 0.2860147953033447, 'w': 0.6380337896361722}, {'zh': '贵族', 'rcs': 0.3622331321239471, 'w': 0.06394705671830593}]","[{'zh': '女王', 'rcs': 0.3969371914863586, 'w': 0.3333333333333333}, {'zh': '皇后', 'rcs': 0.3590055704116821, 'w': 0.3333333333333333}]",0.49638803169756,6,5,王子,王后,0.7846712,0.7987373,0.79170424,0.70466113,0.523819,0.61424005,,
prince,state,"No replacement, border-state is better",M+E-,国王,国家,False,True,True,0.0,0.0164083689451218,0.0750000029802322,0.0459408648312092,0.0441275723278523,0.0,1.96900427341461,9.0,0.475086122751236,0.293639481067657,0.298019140958786,0.734108030796051,"[{'zh': '王子', 'rcs': 0.2860147953033447, 'w': 0.6380337896361722}, {'zh': '贵族', 'rcs': 0.3622331321239471, 'w': 0.06394705671830593}]","[{'zh': '规定', 'rcs': 0.2473006099462509, 'w': 0.26589196465579745}]",1.09518939778323,6,5,王子,国家,0.7846712,0.7015089,0.74309003,0.70466113,0.25638014,0.48052064,,
prince,singer,,M-E+,,,False,False,False,0.0243902485817671,0.0,,0.126476317644119,0.0378992073237896,5.0,0.0,,,,,,,,0.59486391242989,6,6,王子,歌手,0.7846712,0.78461635,0.78464377,0.70466113,0.40966824,0.55716467,,
racket,tennis,,M+E+,球拍,网球,False,False,False,0.300884932279587,0.175925925374031,0.175925925374031,0.398896485567093,0.751800000667572,68.0,19.0,19.0,0.265652418136597,0.572774291038513,1.0,1.0,[],[],0.363948941699475,6,6,球拍,网球,0.5815467,0.7393462,0.66044647,0.73034674,0.5518939,0.6411203,,
racket,movement,No replacement,M+E-,球拍,运动,False,False,False,0.0,0.0262387376278639,0.0648148134350777,0.0254822038114071,0.196300253272057,0.0,2.83378386497498,7.0,0.265652418136597,0.345899760723114,1.0,0.404826253652573,[],"[{'zh': '进步', 'rcs': 0.2919689416885376, 'w': 0.5951737585287443}]",1.19534145951045,6,8,球拍,进步,0.5815467,0.62111986,0.60133326,0.73034674,0.13152725,0.430937,,
racket,noise,,M-E+,,,False,False,False,0.238938048481941,0.0,,0.240984737873077,0.0041797831654548,54.0,0.0,,,,,,,,1.18859182884693,6,5,球拍,干扰,0.5815467,0.7475443,0.66454554,0.73034674,0.06307412,0.39671043,,
riding,saddle,,M+E+,骑马,马鞍,False,False,False,0.0472440868616104,0.0493827164173126,0.0493827164173126,0.476976901292801,0.495200008153915,6.0,4.0,4.0,0.344992280006409,0.291984289884567,1.0,1.0,[],[],1.0102230238544,6,6,骑马,马鞍,0.6668382,0.6921119,0.67947507,0.23870078,0.32381082,0.28125578,,
riding,quick,,M+E-,骑马,快,False,False,False,0.0,0.0370370373129845,0.0370370373129845,0.0520989261567593,0.118299998342991,0.0,3.0,3.0,0.344992280006409,0.256852805614471,1.0,1.0,[],[],1.4287530675134,6,5,骑马,快,0.6668382,0.7524308,0.70963454,0.23870078,0.47288588,0.35579333,,
riding,train,No replacement,M-E+,,,False,True,True,0.0236220546066761,0.0,,0.278559118509293,0.0397999994456768,3.0,0.0,,,,,,,,0.975752464232582,6,5,骑马,火车,0.6668382,0.78923094,0.7280346,0.23870078,0.15093203,0.19481641,,
rise,lift,Conflict with “lift”,M+E+,上升,电梯,False,False,False,0.0618556663393974,0.0387715585529804,0.0618556700646877,0.342477947473526,0.158895552158356,12.0,3.7608413696289102,6.0,0.310974210500717,0.28491798043251,0.82929527759552,0.755830764770508,"[{'zh': '增长', 'rcs': 0.2891542613506317, 'w': 0.17070472211336812}]","[{'zh': '移动', 'rcs': 0.3695006072521209, 'w': 0.24416924500773757}]",0.183542576306198,4,4,上升,电梯,0.65922374,0.6691163,0.66417,0.22844301,0.053380553,0.14091179,,
rise,add,,M+E-,增长,增加,False,False,False,0.0,0.0102422833442688,0.05999999865889549,0.0532179921865463,0.198533281683922,0.0,1.02422833442688,6.0,0.289154261350632,0.34108978509903,0.17070472240448,1.0,"[{'zh': '上升', 'rcs': 0.3109742105007171, 'w': 0.8292952778866318}]",[],1.09235509294594,4,3,上升,增加,0.65922374,0.6496642,0.654444,0.22844301,0.026257789,0.1273504,y,collocation
