cue_en,target_en,Issue,condition,route_cue_zh,route_target_zh,cue_duplicated,target_duplicated,has_duplicate,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason
salute,martyr,,M+E-,致敬,烈士,FALSE,FALSE,FALSE,0.0,0.0189466997981071,0.070175439119339,0.055254802107811,0.221020847558975,0.0,2.15992379188538,0.304020553827286,0.259058058261871,0.269990473985672,1.0,"[{'zh': '敬礼', 'rcs': 0.3540296554565429, 'w': 0.5446546291411507}, {'zh': '致意', 'rcs': 0.272709310054779, 'w': 0.1853549058641541}]",[],1.43170067620393,6,6,敬礼,烈士,0.7048079,0.57752943,0.64116865,0.5883543,0.19068871,0.3895215,,
salute,parade,,M-E+,,,FALSE,FALSE,FALSE,0.0320855565369129,0.0,,0.196564242243767,0.0168056506663561,6.0,0.0,,,,,,,0.314963843695578,6,6,敬礼,展览,0.7048079,0.52237904,0.61359346,0.5883543,0.0044025993,0.29637843,,
scream,yell,,M+E+,尖叫,呐喊,,FALSE,TRUE,0.160621717572212,0.0111611867323518,0.0254237279295921,0.391147255897522,0.172880828380585,31.0,1.3170200586319,0.447117924690247,0.280737221240997,1.0,0.439006686210632,[],"[{'zh': '喊叫', 'rcs': 0.4403048455715179, 'w': 0.22782320362578054}, {'zh': '欢呼', 'rcs': 0.3175866305828094, 'w': 0.18876978998664773}, {'zh': '叫嚷', 'rcs': 0.393348753452301, 'w': 0.14440030688877328}]",1.07936200487412,6,4,尖叫,呐喊,0.7379725,0.75857437,0.74827343,0.41177428,0.42855528,0.42016476,,
scream,lady,,M+E-,尖叫,女生,,FALSE,TRUE,0.0,0.0095838075503706,0.0423728823661804,0.0087919058278203,0.021215483546257,0.0,1.13088929653168,0.447117924690247,0.257099211215973,1.0,0.226177856326103,[],"[{'zh': '女', 'rcs': 0.3753880858421325, 'w': 0.22617785022206596}, {'zh': '淑女', 'rcs': 0.3811275660991668, 'w': 0.22617785022206596}, {'zh': '女子', 'rcs': 0.2242671996355056, 'w': 0.22617785022206596}, {'zh': '女人', 'rcs': 0.3171866238117218, 'w': 0.09528859911173618}]",1.49629488980808,6,4,尖叫,女,0.7379725,0.70106053,0.7195165,0.41177428,0.101873435,0.25682387,,
scream,pain,,M-E+,,,,FALSE,TRUE,0.0310880914330483,0.0,,0.198126584291458,0.0235461574047804,6.0,0.0,,,,,,,1.42575309641936,6,4,尖叫,伤痛,0.7379725,0.7658408,0.75190663,0.41177428,0.30135605,0.35656518,,
seal,letter,,M+E+,密封,信件,,,,0.05063290894031530,0.010075336322188400,,0.09270459413528440,0.06557092070579530,8.0,0.9974583387374880,0.2454538196325300,0.4592893123626710,0.5,0.39898332953453100,"[{'zh': '海豹', 'rcs': 0.2252060621976852, 'w': 0.5}]","[{'zh': '书信', 'rcs': 0.4381456077098846, 'w': 0.601016682430027}]",1.3466430079752300,4,6,海豹,书信,0.7661048,0.72047174,0.7432883,0.29184505,0.36632788,0.32908648,y,global uniqueness
seal,jar,,M+E-,密封,罐子,FALSE,FALSE,FALSE,0.0,0.0157903619110584,0.111111111938953,0.0504206642508507,0.0692944228649139,0.0,1.56324577331543,0.24545381963253,0.51867550611496,0.5,0.284226506948471,"[{'zh': '海豹', 'rcs': 0.2252060621976852, 'w': 0.5}]","[{'zh': '缸', 'rcs': 0.3032687902450561, 'w': 0.28422651929244713}, {'zh': '坛子', 'rcs': 0.3367401957511902, 'w': 0.28422651929244713}, {'zh': '罐头', 'rcs': 0.4481330215930938, 'w': 0.0989784531646106}, {'zh': '罐', 'rcs': 0.4865182042121887, 'w': 0.04834198895804806}]",0.671605269284331,4,3,海豹,缸,0.7661048,0.8230291,0.794567,0.29184505,0.22502257,0.25843382,,
seal,kiss,,M-E+,,,,,,0.025316454470157600,0.0,,0.07664059102535250,0.0040073697455227400,4.0,0.0,,,,,,,1.1471464059791500,4,4,海豹,接吻,0.7661048,0.7324997,0.74930227,0.29184505,0.42093036,0.3563877,y,global uniqueness
sewer,rat,,M+E+,下水道,老鼠,FALSE,FALSE,FALSE,0.0614525191485882,0.054646797478199,0.10810811072588,0.246860548853874,0.173026785254478,11.0,6.06579399108887,0.441880196332932,0.525272011756897,1.0,0.505482852458954,[],"[{'zh': '鼠', 'rcs': 0.4795914888381958, 'w': 0.49451712452432905}]",1.47207172281061,5,3,下水道,老鼠,0.76699734,0.78748375,0.7772405,0.21407603,0.5262946,0.37018532,,
sewer,mermaid,,M+E-,下水道,美人鱼,FALSE,FALSE,FALSE,0.0,0.10810811072588,0.10810811072588,0.0186884701251984,0.259900003671646,0.0,12.0,0.441880196332932,0.40558460354805,1.0,1.0,[],[],0.994566263293886,5,7,下水道,美人鱼,0.76699734,0.8009887,0.783993,0.21407603,0.16013908,0.18710756,,
